regulator.values	target.values	mi.values	scc.values	count.values	log.p.values
ENSG00000248333	ENSG00000147854	0.0794602	0.0275298	1	-nan
ENSG00000248333	ENSG00000148341	0.111181	0.0670538	1	-nan
ENSG00000248333	ENSG00000151135	0.10028	0.0297751	1	-nan
ENSG00000248333	ENSG00000151948	3.07756e-05	-0.000655974	1	-nan
ENSG00000248333	ENSG00000152782	0.0259591	0.00906058	1	-nan
ENSG00000248333	ENSG00000153944	0.120151	0.0342396	1	-nan
ENSG00000248333	ENSG00000155850	0.0609657	0.067081	1	-nan
ENSG00000248333	ENSG00000157020	0.149788	0.046883	1	-nan
ENSG00000248333	ENSG00000158481	1.11044e-05	0.00164594	1	-nan
ENSG00000248333	ENSG00000160014	0.139881	0.03535	1	-nan
ENSG00000248333	ENSG00000160691	0.0852066	0.0438226	1	-nan
ENSG00000248333	ENSG00000161202	0.0960637	0.0439954	1	-nan
ENSG00000248333	ENSG00000162944	4.26425e-05	0.010961	1	-nan
ENSG00000248333	ENSG00000163659	0.0969279	0.0511525	1	-nan
ENSG00000248333	ENSG00000163803	9.51186e-08	0.00313226	1	-nan
ENSG00000248333	ENSG00000164307	0.0589037	0.0173013	1	-nan
ENSG00000248333	ENSG00000165434	0.0460899	0.0386257	1	-nan
ENSG00000248333	ENSG00000167232	0.0908952	0.0388853	1	-nan
ENSG00000248333	ENSG00000168002	0.169407	0.0192421	1	-nan
ENSG00000248333	ENSG00000168071	0.0172878	0.0174905	1	-nan
ENSG00000248333	ENSG00000168172	0.128411	0.0755438	1	-nan
ENSG00000248333	ENSG00000168876	0.0591824	0.0310124	1	-nan
ENSG00000248333	ENSG00000169598	1.75958e-05	0.000199379	1	-nan
ENSG00000248333	ENSG00000169764	0.155042	0.028768	1	-nan
ENSG00000248333	ENSG00000169860	8.56968e-06	0.0171844	1	-nan
ENSG00000248333	ENSG00000173153	0.0768232	0.0497253	1	-nan
ENSG00000221978	ENSG00000285437	0.0349364	0.0434081	1	-nan
ENSG00000221978	ENSG00000270629	0.121127	0.090905	1	-nan
ENSG00000221978	ENSG00000221821	0.0793235	0.0312443	1	-nan
ENSG00000221978	ENSG00000218336	0.0259163	0.015004	1	-nan
ENSG00000221978	ENSG00000204592	0.221324	0.0377179	1	-nan
ENSG00000221978	ENSG00000204138	0.20653	0.0931371	1	-nan
ENSG00000221978	ENSG00000198964	0.117586	0.0577989	1	-nan
ENSG00000221978	ENSG00000197757	0.00301853	0.0234628	1	-nan
ENSG00000221978	ENSG00000197497	0.00607136	0.011222	1	-nan
ENSG00000221978	ENSG00000196505	0.0628239	0.0264575	1	-nan
ENSG00000221978	ENSG00000188910	0.0449624	0.00970315	1	-nan
ENSG00000221978	ENSG00000188647	0.109022	0.0525995	1	-nan
ENSG00000221978	ENSG00000187742	0.197501	0.0841871	1	-nan
ENSG00000221978	ENSG00000187498	0.123531	0.0590218	2	-nan
ENSG00000221978	ENSG00000186480	0.121826	0.0325012	1	-nan
ENSG00000221978	ENSG00000186469	0.000236059	0.00978798	1	-nan
ENSG00000221978	ENSG00000186073	0.0463865	0.0378383	1	-nan
ENSG00000221978	ENSG00000185946	0.118274	0.0658958	1	-nan
ENSG00000221978	ENSG00000184863	0.174645	0.0762247	1	-nan
ENSG00000221978	ENSG00000184428	0.0625616	0.02428	1	-nan
ENSG00000221978	ENSG00000184205	0.117155	0.0533672	1	-nan
ENSG00000221978	ENSG00000182919	0.162516	0.0545039	1	-nan
ENSG00000221978	ENSG00000182481	0.146767	0.0272514	1	-nan
ENSG00000221978	ENSG00000181467	0.121612	0.0414816	1	-nan
ENSG00000221978	ENSG00000181218	0.132878	0.0573019	1	-nan
ENSG00000221978	ENSG00000181029	0.0581563	0.0490376	1	-nan
ENSG00000221978	ENSG00000180979	0.0609941	0.0361703	1	-nan
ENSG00000221978	ENSG00000180011	0.0933964	0.0428212	1	-nan
ENSG00000221978	ENSG00000176014	0.057717	0.0138745	1	-nan
ENSG00000221978	ENSG00000175866	0.179217	0.060193	1	-nan
ENSG00000221978	ENSG00000175582	0.270707	0.0901239	1	-nan
ENSG00000221978	ENSG00000175445	5.38136e-06	-0.00566723	1	-nan
ENSG00000221978	ENSG00000132155	0.204772	0.0804709	1	-nan
ENSG00000221978	ENSG00000130988	2.22499e-07	0.00735489	1	-nan
ENSG00000221978	ENSG00000130958	0.107302	0.038796	1	-nan
ENSG00000221978	ENSG00000130724	0.288078	0.024029	2	-nan
ENSG00000221978	ENSG00000130396	0.196354	0.103277	1	-nan
ENSG00000221978	ENSG00000130023	0.0320403	0.0204364	1	-nan
ENSG00000221978	ENSG00000127863	0.0461977	0.0407262	1	-nan
ENSG00000221978	ENSG00000126803	0.133775	0.0476398	1	-nan
ENSG00000221978	ENSG00000124614	0.171401	-0.0755572	2	-nan
ENSG00000221978	ENSG00000123975	0.180249	-0.0101307	1	-nan
ENSG00000221978	ENSG00000123136	0.163243	0.0498282	2	-nan
ENSG00000221978	ENSG00000121691	0.198414	0.0526957	1	-nan
ENSG00000221978	ENSG00000119285	0.0877695	0.0489432	1	-nan
ENSG00000221978	ENSG00000118971	0.119806	0.0595364	1	-nan
ENSG00000221978	ENSG00000118246	0.128765	0.05644	1	-nan
ENSG00000221978	ENSG00000117616	0.294624	0.0900004	1	-nan
ENSG00000221978	ENSG00000117360	0.107153	0.0551558	1	-nan
ENSG00000221978	ENSG00000115419	0.169385	0.0663742	1	-nan
ENSG00000221978	ENSG00000115137	0.0233699	0.0164307	1	-nan
ENSG00000221978	ENSG00000115109	0.148043	0.0721868	1	-nan
ENSG00000221978	ENSG00000114988	0.0775135	0.0483054	1	-nan
ENSG00000221978	ENSG00000114405	0.0772479	0.0189836	1	-nan
ENSG00000221978	ENSG00000113657	0.0182976	0.0263737	1	-nan
